83469524,0,0,0,0,0,0,0,1,0,0,1,1
83469724,0,0,0,0,0,0,0,1,0,0,1,1
83469924,0,0,0,0,0,0,0,1,0,0,1,1
83470124,0,0,0,0,0,0,0,1,0,0,1,1
83470324,0,0,0,0,0,0,0,1,0,0,1,1
83470524,0,0,0,0,0,0,0,1,0,0,1,1
83470724,0,0,0,0,0,0,0,1,0,0,1,1
83470924,0,0,0,0,0,0,0,1,0,0,1,1
83471124,0,0,0,0,0,0,0,1,0,0,1,1
83471324,0,0,0,0,0,0,0,1,0,0,1,1
83471524,0,0,0,0,0,0,0,1,0,0,1,1
83471724,0,0,0,0,0,0,0,1,0,0,1,1
83471924,0,0,0,0,0,0,0,1,0,0,1,1
83472124,0,0,0,0,0,0,0,1,0,0,1,1
83472324,0,0,0,0,0,0,0,1,0,0,1,1
83472524,0,0,0,0,0,0,0,1,0,0,1,1
83472724,0,0,0,0,0,0,0,1,0,0,1,1
83472924,0,0,0,0,0,0,0,1,0,0,1,1
83473124,0,0,0,0,0,0,0,1,0,0,1,1
83473324,0,0,0,0,0,0,0,1,0,0,1,1
83473524,0,0,0,0,0,0,0,1,0,0,1,1
83473724,0,0,0,0,0,0,0,1,0,0,1,1
83473924,0,0,0,0,0,0,0,1,0,0,1,1
83474124,0,0,0,0,0,0,0,1,0,0,1,1
83474324,0,0,0,0,0,0,0,1,0,0,1,1
83474524,0,0,0,1,0,0,0,1,0,0,1,1
83474724,0,0,0,1,0,0,0,1,0,0,1,1
83474924,0,0,0,1,0,0,0,1,0,0,1,1
83475124,0,0,0,0,0,0,0,1,0,0,1,1
83475324,0,0,0,0,0,0,0,1,0,0,1,1
83475524,0,0,0,1,0,0,0,1,0,0,1,1
83475724,0,0,0,1,0,0,0,1,0,0,1,1
83475924,0,0,0,1,0,0,0,1,0,0,1,1
83476124,0,0,0,1,0,0,0,1,0,0,1,1
83476324,0,0,0,1,0,0,0,1,0,0,1,1
83476524,0,0,0,1,0,0,0,1,0,0,1,1
83476724,0,0,0,1,0,0,0,1,0,0,1,1
83476924,0,0,0,1,0,0,0,1,0,0,1,1
83477124,0,0,0,1,0,0,0,1,0,0,1,1
83477324,0,0,0,1,0,0,0,1,0,0,1,1
83477524,0,0,0,1,0,0,0,1,0,0,1,1
83477724,0,0,0,0,0,0,0,1,0,0,1,1
83477924,0,0,0,1,0,0,0,1,0,0,1,1
83478124,0,0,0,1,0,0,0,1,0,0,1,1
83478324,0,0,0,0,0,0,0,1,0,0,1,1
83478524,0,0,0,0,0,0,0,1,0,0,1,1
83478724,0,0,0,0,0,0,0,1,0,0,1,1
83478924,0,0,0,0,0,0,0,1,0,0,1,1
83479124,0,0,0,0,0,0,0,1,0,0,1,1
83479324,0,0,0,0,0,0,0,1,0,0,1,1
83479524,0,0,0,0,0,0,0,1,0,0,1,1
83479724,0,0,0,0,0,0,0,1,0,0,1,1
83479924,0,0,0,0,0,0,0,1,0,0,1,1
83480124,0,0,0,0,0,0,0,1,0,0,1,1
83480324,0,0,0,0,0,0,0,1,0,0,1,1
83480524,0,0,0,0,0,0,0,1,0,0,1,1
83480724,0,0,0,0,0,0,0,1,0,0,1,1
83480924,0,0,0,0,0,0,0,1,0,0,1,1
83481124,0,0,0,0,0,0,0,1,0,0,1,1
83481324,0,0,0,0,0,0,0,1,0,0,1,1
83481524,0,0,0,0,0,0,0,1,0,0,1,1
83481724,0,0,0,0,0,0,0,1,0,0,1,1
83481924,0,0,0,0,0,0,0,1,0,0,1,1
83482124,0,0,0,0,0,1,0,1,0,0,1,1
83482324,0,0,0,0,0,1,0,1,0,0,1,1
83482524,0,0,0,0,0,1,0,1,0,1,1,1
83482724,0,0,0,0,0,1,0,1,0,1,1,1
83482924,0,0,0,0,0,1,0,1,0,1,1,1
83483124,0,0,0,0,0,1,0,1,0,1,1,1
83483324,0,0,0,0,0,1,0,1,0,1,1,1
83483524,0,0,0,0,0,1,0,1,0,1,1,1
83483724,0,0,0,0,0,1,0,1,0,1,1,1
83483924,0,0,0,0,0,1,0,1,0,1,1,1
83484124,0,0,0,0,0,1,0,1,0,1,1,1
83484324,0,0,0,0,0,1,0,1,0,1,1,1
83484524,0,0,0,0,0,1,0,1,0,0,1,1
83484724,0,0,0,0,0,1,0,1,0,1,1,1
83484924,0,0,0,0,0,1,0,1,0,1,1,1
83485124,0,0,0,0,0,1,0,1,0,1,1,1
83485324,0,0,0,0,0,1,0,1,0,1,1,1
83485524,0,0,0,0,0,1,0,1,0,1,1,1
83485724,0,0,0,0,0,1,0,1,0,1,1,1
83485924,0,0,0,0,0,1,0,1,0,1,1,1
83486124,0,0,0,0,0,1,0,1,0,1,1,1
83486324,0,0,0,0,0,1,0,1,0,1,1,1
83486524,0,0,0,0,0,1,0,1,0,1,1,1
83486724,0,0,0,0,0,1,0,1,0,1,1,1
83486924,0,0,0,0,0,1,0,1,0,1,1,1
83487124,0,0,0,0,0,1,0,1,0,1,1,1
83487324,0,0,0,0,0,1,0,1,0,1,1,1
83487524,0,0,0,0,0,1,0,1,0,1,1,1
83487724,0,0,0,0,0,1,0,1,0,1,1,1
83487924,0,0,0,0,0,1,0,1,0,1,1,1
83488124,0,0,0,0,0,1,0,1,0,1,1,1
83488324,0,0,0,0,0,1,0,1,0,1,1,1
83488524,0,0,1,1,0,1,0,1,0,1,1,1
83488724,0,0,1,1,0,1,0,1,0,1,1,1
83488924,0,0,1,1,0,1,0,1,0,1,1,1
83489124,0,0,1,1,0,1,0,1,0,1,1,1
83489324,0,0,1,1,0,1,0,1,0,1,1,1
83489524,0,0,1,0,0,1,0,1,0,1,1,1
83489724,0,0,1,0,0,1,0,1,0,1,1,1
83489924,0,0,1,0,0,1,0,1,0,1,1,1
83490124,0,0,1,0,0,1,0,1,0,1,1,1
83490324,0,0,1,0,0,1,0,1,0,1,1,1
83490524,0,0,1,0,0,1,0,1,0,1,1,1
83490724,0,0,1,0,0,1,0,1,0,1,1,1
83490924,0,0,1,0,0,1,0,1,0,1,1,1
83491124,0,0,1,0,0,1,0,1,0,1,1,1
83491324,0,0,1,0,0,1,0,1,0,1,1,1
83491524,0,0,1,0,0,1,0,1,0,1,1,1
83491724,0,0,1,0,0,1,0,1,0,1,1,1
83491924,0,0,1,0,0,1,0,1,0,1,1,1
83492124,0,0,1,0,0,1,0,1,0,1,1,1
83492324,0,0,1,0,0,1,0,1,0,1,1,1
83492524,0,0,1,0,0,1,0,1,0,1,1,1
83492724,0,0,1,0,0,1,0,1,0,0,1,1
